Country,Total_Cases,Total_Deaths
USA,111820082,1219487
"
South America
",70200879,1367332
India,45035393,533570
France,40138560,167642
Germany,38828995,183027
Brazil,38743918,711380
S. Korea,34571873,35934
Japan,33803572,74694
Italy,26723249,196487
UK,24910387,232112
Russia,24124215,402756
Turkey,17232066,102174
"
Oceania
",14895771,33015
Spain,13914811,121760
"
Africa
",12860924,258892
Australia,11853144,24414
Vietnam,11625195,43206
Taiwan,10241523,19005
Argentina,10128845,130841
Netherlands,8635786,22992
Mexico,7702809,334958
Iran,7627186,146811
Indonesia,6829221,162063
Poland,6661991,120598
Colombia,6400173,143200
Greece,6101379,37869
Austria,6081287,22542
Portugal,5643062,28126
Ukraine,5557995,112418
Chile,5384853,64497
Malaysia,5278406,37348
Canada,4946090,59034
Belgium,4861695,34376
Israel,4841772,12707
DPRK,4772813,74
Thailand,4770149,34586
Czechia,4759041,43517
Peru,4572667,222161
Switzerland,4453053,14452
Philippines,4140383,66864
South Africa,4076463,102595
Romania,3529735,68929
Denmark,3183756,8814
Singapore,3006155,2024
Hong Kong,2937609,14924
Sweden,2754129,27407
New Zealand,2621111,5697
Serbia,2615054,18057
Iraq,2465545,25375
Hungary,2230232,49048
Bangladesh,2049377,29493
Slovakia,1877605,21224
Georgia,1861665,17132
Jordan,1746997,14122
Ireland,1734582,9491
Pakistan,1581936,30664
Finland,1516117,11958
Norway,1509732,6638
Kazakhstan,1411831,13848
Lithuania,1397806,9897
Slovenia,1356546,7100
Bulgaria,1339851,38748
Croatia,1309728,18687
Guatemala,1291293,20289
Morocco,1278992,16303
Lebanon,1243838,10952
Costa Rica,1238883,9428
Bolivia,1212131,22407
Tunisia,1153361,29423
Cuba,1115251,8530
Ecuador,1070188,36043
UAE,1067030,2349
Panama,1059893,8727
Uruguay,1041111,7664
Mongolia,1011496,2284
Nepal,1003450,12031
Belarus,994037,7118
Latvia,982505,6715
Saudi Arabia,841469,9646
Paraguay,837602,20155
Azerbaijan,835234,10400
Bahrain,729549,1574
Cyprus,681110,1365
Dominican Republic,675890,4384
Sri Lanka,672754,16897
Kuwait,667158,2570
Myanmar,641873,19495
Moldova,635145,12218
Estonia,628070,3001
Palestine,621008,5404
Venezuela,552695,5856
Egypt,516023,24613
Qatar,514524,690
Libya,507274,6437
China,503302,5272
Ethiopia,501157,7574
Réunion,494595,921
Honduras,474590,11165
Armenia,451831,8777
Bosnia and Herzegovina,403615,16388
Oman,399449,4628
Luxembourg,391232,1232
North Macedonia,350567,9976
Zambia,349304,4069
Kenya,344130,5689
Brunei ,343719,225
Albania,334863,3605
Botswana,330638,2801
Montenegro,296542,2846
Algeria,272010,6881
Nigeria,267188,3155
Zimbabwe,266359,5740
Uzbekistan,253662,1637
Afghanistan,234174,7996
Mozambique,233731,2250
Martinique,230354,1102
Laos,218970,758
Iceland,209906,229
Kyrgyzstan,206897,2991
Guadeloupe,203235,1021
El Salvador,201855,4230
Trinidad and Tobago,191496,4390
Maldives,186694,316
Namibia,172389,4106
Uganda,172149,3632
Ghana,171889,1462
Jamaica,156869,3756
Cambodia,139103,3056
Rwanda,133518,1468
Cameroon,125379,1974
Malta,121420,885
Barbados,110578,648
Angola,107327,1937
Channel Islands,101717,228
DRC,99338,1468
French Guiana,98041,420
Malawi,89535,2686
Senegal,89053,1971
Ivory Coast,88384,835
Suriname,82588,1408
New Caledonia,80064,314
French Polynesia,79254,650
Eswatini,75191,1427
Guyana,74137,1300
Belize,71409,688
Fiji,69117,885
Madagascar,68486,1426
Cabo Verde,64477,417
Sudan,63993,5046
Mauritania,63848,997
Bhutan,62697,21
Syria,57743,3165
Burundi,54721,38
Seychelles,51220,172
Gabon,49051,307
Andorra,48015,165
Papua New Guinea,46864,670
Curaçao,45986,295
Aruba,44224,292
Tanzania,43223,846
Mauritius,43025,1051
Mayotte,42027,188
Togo,39572,290
Guinea,38572,468
Bahamas,38084,844
Isle of Man,38008,116
Lesotho,36138,723
Haiti,34667,860
Faeroe Islands,34658,28
Mali,33164,743
Cayman Islands,31472,37
Saint Lucia,30215,410
Benin,28036,163
Macao,27673,123
Somalia,27334,1361
Micronesia,26547,65
San Marino,26185,128
Solomon Islands,25954,199
Congo,25375,386
Timor-Leste,23460,138
Burkina Faso,22114,400
Liechtenstein,21574,94
Gibraltar,20550,113
Grenada,19693,238
Bermuda,18860,165
South Sudan,18819,147
Nicaragua,18491,225
Tajikistan,17786,125
Equatorial Guinea,17229,183
Monaco,17181,67
Samoa,17006,31
Tonga,16950,13
Marshall Islands,16138,17
Dominica,16038,74
Djibouti,15690,189
CAR,15440,113
Gambia,12626,372
Saint Martin,12324,63
Vanuatu,12019,14
Greenland,11971,21
Yemen,11945,2159
Caribbean Netherlands,11682,38
Sint Maarten,11051,92
Eritrea,10189,103
Niger,9931,312
St. Vincent Grenadines,9674,124
Guinea-Bissau,9614,177
Comoros,9109,161
Antigua and Barbuda,9106,146
Liberia,8090,295
Sierra Leone,7779,126
Chad,7701,194
British Virgin Islands,7392,64
Cook Islands,7203,2
Sao Tome and Principe,6778,80
Turks and Caicos,6752,40
Saint Kitts and Nevis,6607,48
Palau,6290,10
St. Barth,5507,6
Nauru,5393,1
Kiribati,5085,24
Anguilla,3904,12
Wallis and Futuna,3550,8
Saint Pierre Miquelon,3452,2
Tuvalu,2943,1
Saint Helena,2166,0
Falkland Islands,1930,0
Montserrat,1403,8
Niue,1059,0
"

",721,15
Diamond Princess,712,13
Tokelau,80, 
Vatican City,29, 
Western Sahara,10,1
MS Zaandam,9,2
