Country,vaccinations
Argentina,3875508
Austria,1956155
Bahrain,3246583
Belgium,3317302
Bermuda,4597
Brazil,9367645
Bulgaria,559851
Canada,8403751
Chile,878212
China,62767000
Costa Rica,114637
Croatia,538765
Cyprus,62709
Czechia,3670358
Denmark,4668231
Ecuador,3090
England,98410334
Estonia,500539
Finland,1310192
France,14181642
Germany,33013230
Gibraltar,137053
Greece,2649634
Hungary,2917606
Iceland,41822
India,24564363
Indonesia,2289929
Ireland,658817
Isle of Man,42248
Israel,83928749
Italy,29703535
Kuwait,2500
Latvia,370699
Lithuania,1303066
Luxembourg,78228
Malta,261501
Mexico,9726196
Myanmar,3800
Netherlands,1921283
Northern Cyprus,15968
Northern Ireland,3290981
Norway,1291199
Oman,522761
Panama,19829
Poland,13382831
Portugal,2227025
Romania,7662377
Russia,1880500
Saudi Arabia,1103372
Scotland,6542941
Serbia,2434915
Seychelles,198148
Singapore,182650
Slovakia,1790219
Slovenia,1028810
Spain,15542638
Sri Lanka,43111
Sweden,805632
Switzerland,805232
Turkey,19731396
United Arab Emirates,48174894
United Kingdom,112912117
United States,358463653
Wales,3989282
